Group	Words
588	libertatis libertates libertati
589	ceterorum ceterarum celerorum certerorum
590	riuelea ciuelea kiuelea
591	erneleiam herneleiam
592	edintona elintona erdintona edinton
593	decernentes decernente
594	burford turford bureford birford
595	acaciam abaciam
596	mainil amainil maisnil
597	setonam setona etonam snetonam sutonam
598	didiscimus didicimus
599	conseruandam conseruandas
600	deseruiendi deseruiendo
601	brecinio bricinio brecenio
602	recipiendam recipiendum recipiendas
603	santona saxtona tantona fantona hantona swantona stantona
604	aprobante aprobate adprobante aprobantes
605	monacatis monacati monacatus
606	custodis custodia custodit custodie custodi custodias custodes
607	prebende prebenda preabende prebente
608	uirgatas uirgata uirgatam uirgatis
609	agelino acelino aselino
610	sutwele sutwel suwele
611	supradicte supradicta supradicto supradicti
612	maundeuile mandeuile mundeuile maundeuil
613	sauerna sauernam
614	olendinum molendinum
615	herceam cerceam
616	interfuerat interfuerant interfuerit
617	uestrarum uestrorum
618	waleranum waleranus
619	pediton periton
620	toraldin toraldi
621	conferi confero confesi confere
622	necesitate necesitati necesitatem necesitates
623	ascetili ascatili anscetili ascetilo asketili ancetili ascetil
624	latrocinio latrocinii patrocinio
625	quondam quandam quoniam quosdam quendam quodam
626	clericum clericus
627	baiocis baiocas
628	seruitiis seruitii seruiciis
629	ordinatis ordinatus ordinatio
630	inconcusaque inconcusamque inconcuseque
631	ireuocabiliter inreuocabiliter
632	excambia excambiam escambia excambio
633	spiritus spiritu
634	sotauagina soteuagina
635	detinent detinet retinent detineat
636	certeseie certeseia
637	poterat poterit poterant
638	sutreie sutregie sureie sutreia
639	soluendis soluendas soluendos soluendi soluendus
640	amoueri amouere
641	estantona stantona
642	celarium celarum telarium
643	beneuento beneuenti
644	cercetur cerceatur
645	sifrewast sifrewaste
646	omnimodis omnimodas
647	tenetis teneatis tenentis
648	terintona tirintona cerintona teintona derintona
649	admundum eadmundum edmundum
650	stapiltona stapeltona
651	rogerum rogerium rogerus
652	infangentef infangetef infongentef infangenteof infangantef infangenetef infangintef infangenteif
653	conuersationem conuersationis conuersionem conseruationem conuersatione
654	prorsus proisus
655	sanwiz sandwiz
656	quoscunque quoscumque quodcunque quocunque
657	faldington aldington
658	intuli intulit
659	pietati pietatis pietate
660	proueniente preueniente prouenientes
661	bristow bristou bristowe bristowa bristod bristol bristo
662	herfordiam herfordia herefordiam
663	resumat presumat
664	mensuram mensura censuram mansuram
665	eletonam weletonam
666	gurnaio gornaio gurnai gournaio
667	batuento batuent bauento
668	eborascisira eboracisira
669	diuisio diuisit diuisim diuisis diuiso
670	septimanas septimana septimanis septimanam
671	cognouit cognoui
672	glocestriam glocestria gloucestriam glecestriam
673	ernulfum ernulfus
674	adiudicate adiudicata
675	westwin westwik westwic
676	teloneum telonium teoloneum
677	roboratus roboratur roboratas roboratum roboramus
678	conuenerant conuenerint conuenerat conuenerunt
679	mousterol mosterol
680	perpetrandam perpetuandam perpetranda
681	titulis uitulis tituli
682	asignent asignet
683	ulgerium ulgerius
684	iornetum iornetus
685	grimbald grimbaldi grimbaud grimbaldo
686	ualeamus ualemus ualamus
687	burbac burbace
688	alwini ailwini balwini alfwini aldwini
689	ancetilus ancatilus ascetilus anscetilus
690	constringit constringat
691	asensum asensus asensu
692	wilelmus gilelmus wlelmus wilelmu wilelus wilielmus wilemus wilelmum
693	animalia animali animalcia
694	direptionem diremptionem
695	rotomagus rotomagum
696	doueram doueriam moueram douera douram
697	cornuto carnuto
