	0
cantebrigia	cantebrigiam
concesisent	concesiset
renuntiauerunt	renunciauerunt
prohibitione	prohibitioni
consciencia	conscientia
conscientiam	conscientia
conscientie	consciencia
constitutioni	constitutionis
inuestitura	inuestituram
instantius	instantibus
retinuerint	retinuerit
detinuerunt	retinuerint
spiritualia	spirituali
spiritualis	spirituali
celebrationem	celebratione
celebrationi	celebrationis
qualicunque	qualicumque
qualiscumque	qualicumque
qualecumque	qualemcumque
custodiendam	custodienda
dunelmense	dunelmensem
claustrali	claustralis
claustrales	claustralis
contingencia	contingentia
continentia	continenti
contingentis	contingentia
presentato	presentatio
presentati	presentatio
huntindonie	huntendonie
sustinuerit	sustinuerint
sustinuerunt	sustinuerint
parisiensem	parisienses
parisiense	parisienses
niuernense	niuernensem
perenniter	perhenniter
perheniter	perhenniter
consisteret	consistere
sacerdotalis	sacerdotali
susceptione	susceptionem
patrimonium	matrimonium
suprascriptos	suprascriptis
suprascriptus	suprascriptum
helemosinarius	elemosinarius
uisitauerit	uisitauerint
oxenefordia	oxenefordiam
oxeneforde	oxenefordie
oxenfordie	oxenefordie
conuentualis	conuentuali
conuentuale	conuentualis
districtionis	districtioni
instituendis	instituendus
instituendo	instituendi
ministraturo	ministraturi
ministraturis	ministraturus
matiscensi	matiscensis
multiplicem	multiplices
triumphale	triumphalem
christianis	cristianis
conferantur	conferuntur
conferentur	conferetur
cognitionem	cognitione
inuentionem	intentionem
inuentione	intentionem
presententur	presentetur
diseisiauerunt	diseisiuerunt
acquisierint	acquisierunt
adquisierunt	acquisierint
acquisierant	acquisierat
stepanensium	stepaniensium
forisfactura	forisfacturam
forisfacturas	forisfacturam
construendam	construendum
consensimus	consentimus
consentiemus	consentimus
examinacionis	examinationis
exstiterunt	extiterunt
prouidente	prouidentes
herembertus	herebertus
adnotatione	anotatione
protestatur	protestatus
ocidentalem	ocidentale
occidentale	ocidentalem
propinquis	propinquius
propinquus	propinquius
edificatione	edificationem
emolumenti	emolumentis
fraternitate	fraternitati
peregrinationem	peregrinatione
sustentationi	sustentationis
intromitant	intromitat
recuperaui	recuperauit
communionem	communione
legrecestria	legrecestrie
cirencestria	cirencestrie
confesionibus	concesionibus
malefactorem	malefactorum
translatione	translationem
instituendum	instituendus
instituendos	instituendus
lugdunense	lugdunensem
contradiceret	contradicere
